exp_ids,treatment,plant_id,maleid,tactic,female_mating_status,mated,call_number,call_effort,times,mating_latency,male_movement_steps,male_distance,male_vel,femaleid,female_movement_steps,female_distance,female_vel,initial_dist_to_female,initial_dist_to_male,final_dist_to_male
22_3_21_3,single_male,Plant_02,M033,call,virgin,0,45,1,45,NA,0,0,0,F022,1,1,0.022222222,1,NA,NA
23_3_21_1,single_male,Plant_02,M035,call,virgin,0,46,1,46,NA,0,0,0,F023,1,1,0.02173913,1.414213562,NA,NA
23_3_21_2,single_male,Plant_02,M030,call,virgin,0,32,0.680851064,47,NA,2,2.414213562,0.051366246,F022,0,0,0,2.236067977,NA,NA
29_3_21_1,single_male,Plant_02,M041,call,virgin,1,9,0.75,12,12,1,1,0.083333333,F025,2,3.236067977,0.269672331,2.236067977,NA,NA
30_3_21_1,single_male,Plant_02,M040,call,virgin,0,46,1,46,NA,0,0,0,F030,1,1,0.02173913,1.414213562,NA,NA
31_3_21_1,single_male,Plant_02,M043,call,virgin,0,45,1,45,NA,0,0,0,F030,1,1.414213562,0.031426968,2.828427125,NA,NA
31_3_21_2,single_male,Plant_02,M047,call,virgin,1,6,0.75,8,8,0,0,0,F027,2,2,0.25,1.414213562,NA,NA
1_4_21_2,single_male,Plant_02,M051,call,virgin,1,4,0.666666667,6,6,1,1,0.166666667,F024,1,2,0.333333333,1,NA,NA
2_4_21_1,single_male,Plant_02,M054,call,virgin,0,11,0.261904762,42,NA,0,0,0,F026,0,0,0,1.414213562,NA,NA
5_4_21_2,single_male,Plant_02,M042,call,virgin,1,1,0.25,4,4,0,0,0,F030,0,0,0,0,NA,NA
7_4_21_1,single_male,Plant_02,M060,call,virgin,1,4,0.571428571,7,7,0,0,0,F034,2,2,0.285714286,2,NA,NA
8_4_21_2,single_male,Plant_02,M058,call,virgin,1,4,0.571428571,7,7,0,0,0,F037,3,NA,NA,0,NA,NA
20_4_21_1,single_male,Plant_02,M079,call,virgin,1,4,0.571428571,7,7,0,0,0,F049,3,3,0.428571429,2.236067977,NA,NA
29_4_21_1,single_male,Plant_02,M095,call,virgin,0,5,0.108695652,46,NA,2,2,0.043478261,F059,0,0,0,0,NA,NA
2_5_21_1,single_male,Plant_02,M097,call,virgin,1,3,0.5,6,6,0,0,0,F063,2,2,0.333333333,1.414213562,NA,NA
22_10_21_1,single_male,Plant_03,M179,call,virgin,0,34,0.708333333,48,NA,3,3,0.0625,F137,2,3.236067977,0.067418083,1,NA,NA
22_10_21_2,single_male,Plant_03,M176,call,virgin,1,12,0.75,16,16,1,1,0.0625,F138,8,10.65028154,0.665642596,7.280109889,NA,NA
22_10_21_3,single_male,Plant_03,M189,call,virgin,0,2,1,2,NA,0,0,0,F142,1,1,0.5,3,NA,NA
24_10_21_1,single_male,Plant_03,M177,call,virgin,1,6,0.666666667,9,9,2,2,0.222222222,F140,3,5.16227766,0.573586407,4.242640687,NA,NA
24_10_21_2,single_male,Plant_03,M184,call,virgin,0,16,0.8,20,NA,4,7.478708665,0.373935433,F144,6,8.242640687,0.412132034,6.32455532,NA,NA
24_10_21_3,single_male,Plant_03,M192,call,virgin,0,15,0.9375,16,NA,0,0,0,F145,8,11.23606798,0.702254249,6,NA,NA
25_10_21_1,single_male,Plant_04,M219,call,virgin,0,6,0.461538462,13,NA,0,0,0,F146,1,1,0.076923077,3.16227766,NA,NA
26_10_21_3,single_male,Plant_04,M173,call,virgin,1,1,0.333333333,3,3,0,0,0,F149,1,1,0.333333333,1,NA,NA
26_10_21_4,single_male,Plant_04,M215,call,virgin,0,7,0.875,8,NA,2,2.414213562,0.301776695,F151,1,1,0.125,1.414213562,NA,NA
27_10_21_1,single_male,Plant_04,M221,call,virgin,0,19,0.513513514,37,NA,5,5,0.135135135,F153,5,7.886349517,0.213144582,4.123105626,NA,NA
28_10_21_1,single_male,Plant_04,M181,call,virgin,0,3,1,3,NA,0,0,0,F156,1,1,0.333333333,1.414213562,NA,NA
28_10_21_2,single_male,Plant_04,M184,call,virgin,1,3,0.6,5,5,0,0,0,F157,1,2.236067977,0.447213595,2.236067977,NA,NA
28_10_21_3,single_male,Plant_04,M185,call,virgin,0,8,0.533333333,15,NA,0,0,0,F159,4,6.236067977,0.415737865,2.236067977,NA,NA
28_10_21_4,single_male,Plant_04,M180,call,virgin,0,5,1,5,NA,0,0,0,F158,1,1,0.2,1.414213562,NA,NA
30_10_21_2,single_male,Plant_04,M203,call,virgin,1,11,0.47826087,23,23,3,3,0.130434783,F169,11,12.24264069,0.532288726,1,NA,NA
30_10_21_4,single_male,Plant_04,M202,call,virgin,0,4,0.8,5,NA,0,0,0,F167,0,0,0,3,NA,NA
1_11_21_2,single_male,Plant_04,M194,call,virgin,1,11,0.6875,16,16,3,3.414213562,0.213388348,F173,9,14.1289902,0.883061888,2,NA,NA
2_11_21_4,single_male,Plant_04,M180,call,virgin,0,6,0.75,8,NA,0,0,0,F177,3,5.990704785,0.748838098,1,NA,NA
7_11_21_3,single_male,Plant_04,M192,call,virgin,0,7,1,7,NA,0,0,0,F184,1,1.414213562,0.202030509,4.472135955,NA,NA
9_11_21_2,single_male,Plant_04,M239,call,virgin,0,11,0.239130435,46,NA,0,0,0,F186,7,7.414213562,0.161178556,3.16227766,NA,NA
11_11_21_2,single_male,Plant_04,M238,call,virgin,1,11,0.733333333,15,15,0,0,0,F188,4,6.478708665,0.431913911,2.236067977,NA,NA
11_11_21_3,single_male,Plant_04,M247,call,virgin,1,4,0.235294118,17,17,5,5.828427125,0.342848654,F189,2,2.828427125,0.166378066,1,NA,NA
15_3_21_1,single_male,Plant_02,M001,silent,virgin,1,0,0,37,37,2,2.414213562,0.065249015,F011,4,4,0.108108108,1,NA,NA
15_3_21_2,single_male,Plant_02,M007,silent,virgin,1,0,0,3,3,0,0,0,F012,1,1,0.333333333,1,NA,NA
18_3_21_1,single_male,Plant_02,M022,silent,virgin,1,0,0,7,7,1,1,0.142857143,F009,1,1,0.142857143,0,NA,NA
30_3_21_3,single_male,Plant_02,M039,silent,virgin,1,0,0,6,6,0,0,0,F031,1,1,0.166666667,1,NA,NA
13_4_21_2,single_male,Plant_02,M062,silent,virgin,0,0,0,46,NA,0,0,0,F039,1,1,0.02173913,2.236067977,NA,NA
15_4_21_2,single_male,Plant_02,M064,silent,virgin,1,0,0,9,9,0,0,0,F041,2,2,0.222222222,2,NA,NA
17_4_21_2,single_male,Plant_02,M074,silent,virgin,0,0,0,46,NA,2,2.828427125,0.061487546,F045,1,1,0.02173913,1,NA,NA
19_4_21_2,single_male,Plant_02,M081,silent,virgin,0,0,0,46,NA,0,0,0,F050,0,0,0,0,NA,NA
19_4_21_4,single_male,Plant_02,M076,silent,virgin,1,0,0,5,5,0,0,0,F052,2,2,0.4,0,NA,NA
20_4_21_2,single_male,Plant_02,M081,silent,virgin,0,0,0,46,NA,0,0,0,F047,0,0,0,2.236067977,NA,NA
20_4_21_3,single_male,Plant_02,M082,silent,virgin,0,0,0,46,NA,0,0,0,F051,3,3,0.065217391,2.236067977,NA,NA
