exp_ids,maleid,tactic,FemaleID,mated,treatment,experiment
10_5_22_2,M398,silent,F368,0,two_males_caller,across
11_5_22_1,M388,silent,F370,0,two_males_caller,across
11_5_22_1,M400,call,F370,1,two_males_caller,across
12_5_22_1,M402,call,F375,0,two_males_caller,across
12_5_22_1,M403,silent,F375,0,two_males_caller,across
13_5_22_2,M405,silent,F380,0,two_males_caller,across
13_5_22_2,M411,call,F380,1,two_males_caller,across
15_5_22_1,M407,silent,F382,0,two_males_caller,across
15_5_22_1,M414,call,F382,1,two_males_caller,across
16_5_22_1,M415,silent,F388,0,two_males_caller,across
16_5_22_1,M421,call,F388,0,two_males_caller,across
16_5_22_2,M423,call,F387,1,two_males_caller,across
16_5_22_2,M424,silent,F387,0,two_males_caller,across
17_5_22_1,M419,call,F389,0,two_males_caller,across
17_5_22_1,M428,silent,F389,0,two_males_caller,across
18_5_22_1,M429,call,F393,1,two_males_caller,across
18_5_22_1,M430,silent,F393,0,two_males_caller,across
19_5_22_1,M425,silent,F395,0,two_males_caller,across
19_5_22_1,M433,call,F395,0,two_males_caller,across
24_5_22_2,M438,call,F410,0,two_males_caller,across
24_5_22_2,M439,silent,F410,0,two_males_caller,across
25_5_22_1,M436,silent,F412,0,two_males_caller,across
25_5_22_1,M441,call,F412,0,two_males_caller,across
27_5_22_1,M445,silent,F414,0,two_males_caller,across
27_5_22_1,M444,call,F414,0,two_males_caller,across
13_4_22_1,M302,call,F301,0,single_male,across
13_4_22_2,M304,call,F302,1,single_male,across
14_4_22_2,M308,call,F304,0,single_male,across
14_4_22_3,M310,call,F305,1,single_male,across
17_4_22_1,M318,call,F309,0,single_male,across
17_4_22_2,M314,call,F310,1,single_male,across
17_4_22_3,M315,call,F312,0,single_male,across
18_4_22_1,M321,call,F313,0,single_male,across
19_4_22_1,M331,call,F316,0,single_male,across
20_4_22_2,M328,call,F320,0,single_male,across
24_4_22_1,M341,call,F328,1,single_male,across
24_4_22_2,M339,call,F329,1,single_male,across
